IPM	INFORM PROCESS MANAG
AARL	AUST ACAD RES LIBR
ITM	INFORM TECHNOL MANAG
ALJ	AUST LIBR J
JCC	J COMPUT-MEDIAT COMM
JAL	J ACAD LIBR
GIQ	GOV INFORM Q
KO	KNOWL ORGAN
LCA	LIBR COLLECT ACQUIS
SCIENTOMETRICS	SCIENTOMETRICS
JI	J INFORMETR
ECONTENT	ECONTENT
IS	INFORM SOC
IJIM	INT J INFORM MANAGE
TP	TELECOMMUN POLICY
JHC	J HEALTH COMMUN
TRANSINFORMACAO	TRANSINFORMACAO
JD	J DOC
JGITM	J GLOB INF TECH MAN
IR	INFORM RES
ISR	INFORM SYST RES
JMIS	J MANAGE INFORM SYST
IM	INFORM MANAGE-AMSTER
JLIS	J LIBR INF SCI
JAIS	J ASSOC INF SYST
EL	ELECTRON LIBR
ITP	INFORM TECHNOL PEOPL
JGIM	J GLOB INF MANAG
LP	LEARN PUBL
JAMIA	J AM MED INFORM ASSN
LCR	LIBR CULT REC
DBAIS	DATA BASE ADV INF SY
RE	RES EVALUAT
LHT	LIBR HI TECH
SCIENTIST	SCIENTIST
ONLINE	ONLINE
MQE	MIS Q EXEC
PL	PROGRAM-ELECTRON LIB
JASIST	J AM SOC INF SCI TEC
JSP	J SCHOLARLY PUBL
LT	LIBR TRENDS
REDC	REV ESP DOC CIENT
JIT	J INF TECHNOL
ZBB	Z BIBL BIBL
LRTS	LIBR RESOUR TECH SER
AJLAI	AFR J LIBR ARCH INFO
PA	PORTAL-LIBR ACAD
KMRP	KNOWL MAN RES PRACT
LQ	LIBR QUART
ITD	INFORM TECHNOL DEV
LIS	LIBR INFORM SC
LISR	LIBR INFORM SCI RES
PCI	PERSPECT CIENC INF
EIT	ETHICS INF TECHNOL
IB	INVESTIG BIBLIOTECOL
MJLIS	MALAYS J LIBR INF SC
CJILS	CAN J INFORM LIB SCI
JKM	J KNOWL MANAG
MQ	MIS QUART
ITL	INFORM TECHNOL LIBR
JMLA	J MED LIBR ASSOC
AP	ASLIB PROC
LJ	LIBR J
LIBRI	LIBRI
IS	INFORM SOC-ESTUD
HILJ	HEALTH INFO LIBR J
ARIS	ANNU REV INFORM SCI
IDS	INTERLEND DOC SUPPLY
SR	SERIALS REV
RESTAURATOR	RESTAURATOR
CRL	COLL RES LIBR
IO	INFORM ORGAN-UK
SSI	SOC SCI INFORM
IT	INF TARSAD
ISJ	INFORM SYST J
ID	INFORM DEV
JIS	J INF SCI
OIR	ONLINE INFORM REV
PI	PROF INFORM
JSIS	J STRATEGIC INF SYST
IJCC	INT J COMP-SUPP COLL
EJIS	EUR J INFORM SYST
IJGIS	INT J GEOGR INF SCI
SSCR	SOC SCI COMPUT REV
